City_Name,Confirmed_Patient,Quarantine,Isolation_Release,Dead,Incident_rate,City_Code
Total,42766,10372,31814,580,20.10,1
Seoul,12187,4588,7490,109,6.06,2
Busan,1235,391,825,19,3.66,3
Daegu,7349,107,7042,200,279.38,4
Incheon,1841,445,1384,12,2.84,5
Gwangju,800,115,682,3,1.85,6
Daejeon,623,119,498,6,2.65,7
Ulsan,429,211,214,4,3.49,8
Sejong,124,18,106,0,13.44,9
Gyeonggi,9737,2418,7184,135,4.57,10
Gangwon,807,217,578,12,3.18,11
ChungBuk,534,232,299,3,2.81,12
ChungNam,1064,226,828,10,6.50,13
JeonBuk,498,170,326,2,0.94,14
JeonNam,479,109,366,4,0.80,15
GyeongBuk,1834,125,1651,58,49.58,16
GyeongNam,842,227,613,2,3.42,17
Jeju,110,35,75,0,1.79,18
Lazaretto,2273,619,1653,1,0,19
