Country,Confirmed
China,86688
Hong Kong,7291
Taiwan,724
Macau,46
Japan,168573
Singapore,58291
Thailand,4151
Malaysia,76265
Vietnam,1381
India,9767371
Philippines,444164
Cambodia,356
Nepal,244433
Sri Lanka,29378
Afghanistan,48540
Pakistan,426142
Indonesia,592900
Bhutan,433
Maldives,13274
Bangladesh,484104
Brunei,152
Mongolia,893
Kazakhstan,180777
Uzbekistan,74352
Kyrgyzstan,76012
East Timor,31
Myanmar,101739
Laos,41
Tajikistan,12553
Iran,1072620
Bahrain,88494
Egypt,119702
Iraq,569873
Jordan,250219
Kuwait,145204
Lebanon,140409
Libya,88522
Morocco,388184
Oman,125490
Qatar,140353
Saudi Arabia,359274
Syria,8675
Tunisia,106856
Israel,347144
United Arab Emirates,180150
Algeria,89416
Yemen,2083
United States of America,14972356
Canada,429035
Mexico,1193255
Panama,181166
Honduras,112175
Guatemala,127127
Costa Rica,147430
Elsalvador,40741
Belize,8013
Nicaragua,4709
Dominican Republic,150161
Cuba,9106
Jamaica,11369
Trinidad and Tobago,6808
Haiti,9434
Bahamas,7580
Barbados,290
Antigua and Barbuda,146
Grenada,43
Saint Lucia,271
Saint Vincent and the Grenadines,90
Commonwealth of Dominica,85
Saint Kitts and Nevis,25
Brazil,6674999
Peru,976621
Ecuador,199228
Chile,564778
Columbia,1384610
Argentina,1469919
Bolivia,145846
Uruguay,7806
Paraguay,89421
Venezuela,105384
Guyana,5700
Suriname,5326
Italy,1757394
Germany,1218524
France,2269668
United Kingdom,1750245
Spain,1702328
Austria,305688
Croatia,154852
Finland,28242
Sweden,297732
Switzerland,357121
Belgium,594572
Denmark,94799
Estonia,15510
Georgia,174383
Greece,118045
North Macedonia,69452
Norway,38703
Romania,524675
Netherlands,569747
Belarus,150602
Lithuania,80556
San Marino,1832
Azerbaijan,154152
Iceland,5506
Monaco,648
Luxemburg,38476
Armenia,144066
Ireland,74682
Czech Republic,556927
Portugal,325071
Latvia,22104
Andorra,7127
Poland,1076180
Ukraine,845343
Hungary,259588
Bosnia and Herzegovina,96021
Slovenia,87936
Liechtenstein,1447
Serbia,234027
Slovakia,119232
Bulgaria,168165
Malta,10699
Moldova,119204
Albania,44436
Cyprus,13286
Turkey,872093
Montegro,39269
Kosovo,43838
Russia,2541199
Australia,27993
New Zealand,1732
Fiji,44
Papua New Guinea,684
Marshall Islands,4
Solomon Islands,17
Vanuatu,1
Nigeria,70195
Senegal,16596
Cameroon,24963
Republic of South Africa,821889
Togo,3132
Burkina Faso,3469
DRCongo,13749
Cote d´Ivoire,21513
Sudan,20084
Ethiopia,113735
Gabon,9278
Ghana,52500
Guinea,13264
Kenya,88579
Namibia,15298
Central African Republic,4927
Congo,6049
Equatorial Guinea,5166
Swatini,6563
Mauritania,9516
Rwanda,6237
Seychelles,182
Benin,3090
Liberia,1676
Tanzania,509
Djibouti,5717
Gambia,3776
Zambia,17931
Mauritius,505
Chad,1728
Niger,1856
Cape Verde,10626
Zimbabwe,10839
Somalia,4579
Madagascar,17638
Angola,15729
Eritrea,649
Uganda,23200
Mozambique,16373
Guinea Bissau,2444
Mali,5442
Botswana,12058
Brundi,720
Sierra Leone,2428
Malawi,6051
South Sudan,3181
Sao Tome and Principe,1005
Comoros,616
Lesotho,2150
Others,255864
